"year","area","month","mu.t","sd.t"
2017,"coastal",5,16.5310754776001,1.59314320640596
2017,"coastal",6,19.4686965942383,2.77669709045786
2017,"coastal",7,22.9630851745605,2.74854855228257
2017,"coastal",8,25.9654159545898,2.52502320235531
2017,"coastal",9,23.5305023193359,0.809255950666929
2017,"coastal",10,20.1306629180908,0.659102208023234
2017,"coastal",11,16.2538213729858,0.737714985546951
2017,"coastal",12,12.5040783882141,1.08359554535863
2017,"offshore",1,11.3001251220703,0.877808626904192
2017,"offshore",2,10.2226104736328,1.12368236838331
2017,"offshore",3,10.672869682312,0.858212077493654
2017,"offshore",4,11.6627388000488,0.657426706702978
2017,"offshore",5,13.8301820755005,0.483086698545057
2017,"offshore",6,15.7428970336914,0.563194669731961
2017,"offshore",7,17.2723693847656,0.980402105505051
2017,"offshore",8,17.9841842651367,1.63273388111282
2017,"offshore",9,18.5306358337402,1.52776029074836
2017,"offshore",10,19.0854568481445,0.894065462459371
2017,"offshore",11,16.9885387420654,0.235438919286474
2017,"offshore",12,13.9299716949463,0.635183083831302
2018,"coastal",1,11.3067145347595,1.00627143091093
2018,"coastal",2,9.47349834442139,0.639053629826741
2018,"coastal",3,8.42773008346558,0.934932895919215
2018,"coastal",4,11.72532081604,1.32263033996873
2018,"coastal",5,16.3210678100586,2.6990646003998
2018,"coastal",6,20.5155363082886,3.22086373309067
2018,"coastal",7,23.3227691650391,3.28122917156982
2018,"coastal",8,25.1540641784668,3.39782772943891
2018,"coastal",9,24.5305242538452,2.12897131131641
2018,"coastal",10,20.5538444519043,0.493075672718825
2018,"coastal",11,17.0131597518921,0.675914902821617
2018,"coastal",12,13.3324837684631,1.0329831031769
2018,"offshore",1,12.2984857559204,0.591322739095472
2018,"offshore",2,10.856822013855,0.748455504459696
2018,"offshore",3,9.72561550140381,0.893612583970143
2018,"offshore",4,10.8690185546875,0.674687324703831
2018,"offshore",5,12.6298494338989,0.544317741690762
2018,"offshore",6,14.688138961792,0.774902283808287
2018,"offshore",7,16.0081062316895,1.07965000976768
2018,"offshore",8,16.7423686981201,1.39086347309252
2018,"offshore",9,16.8033313751221,1.532294467335
2018,"offshore",10,18.5526809692383,1.30843069134479
2018,"offshore",11,17.7519550323486,0.258729854288187
2018,"offshore",12,14.6892328262329,0.617464612391521
2019,"coastal",1,10.8118953704834,1.11056636976643
2019,"coastal",2,9.49685716629028,0.681164473803416
2019,"coastal",3,10.7809648513794,0.538856789307647
2019,"coastal",4,13.0573143959045,0.74937569039623
2019,"coastal",5,15.5720100402832,0.817109727510236
2019,"coastal",6,19.0045108795166,2.42877750094342
2019,"coastal",7,22.619776725769,3.20368870970861
2019,"coastal",8,25.5941848754883,2.61173788276688
2019,"coastal",9,24.7146463394165,1.00087524323276
2019,"coastal",10,21.3633823394775,0.611722708985753
2019,"coastal",11,17.592791557312,0.800339003225175
2019,"coastal",12,13.7391605377197,1.00110027093674
2019,"offshore",1,12.0658531188965,0.64026856153487
2019,"offshore",2,10.7974405288696,0.702644132037702
2019,"offshore",3,11.0275049209595,0.676951955290196
2019,"offshore",4,12.2286596298218,0.4333662742323
2019,"offshore",5,13.936222076416,0.334678770573103
2019,"offshore",6,15.9151153564453,0.482758418680674
2019,"offshore",7,17.7484588623047,0.83149392340234
2019,"offshore",8,19.0546875,1.27370699000226
2019,"offshore",9,19.614387512207,1.92077526519599
2019,"offshore",10,20.028039932251,1.06121277636682
2019,"offshore",11,18.380126953125,0.304262980941793
2019,"offshore",12,15.4013938903809,0.630750115149497
