"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"dom_02",2,2,30,30,40,NA,NA,NA,NA,5.43956,1.01812284490025,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",35,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,21,15,1,3
"kou_02",3,6,36,14,24,0.300813,0.9512195,0.0731707,0.0731707,8.416667,0.875,44.77,5.36,"crangon","kou_02_3_6","kou_02_3",19,"medium_shrimp",1.14285714285714,20,1,0.685714285714283,0.517241379310345,10,9,1,3
"kou_99",1,1,5,6,16,0.2483766,0.7159091,0.02483766,0.3944806,9.31008338058201,5,15.78,1.41,"mysids;gammarus;shrimps","kou_99_1_1","kou_99_1",11,"shrimp_mix",0.6,19,4,0.359999999999999,0.448275862068966,33,24,1,4
"dom_03a",2,5,24,15,20,0.5696703,0.8650549,0.2426374,0.3692304,8.34818928122664,1,NA,NA,"crangon","dom_03a_2_5","dom_03a_2",17.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,32,23,1,3
"kou_01",1,5,12,14,24,NA,NA,NA,NA,3.822526,0.546075,9,NA,"mysids;crangon","kou_01_1_5","kou_01_1",19,"shrimp_mix",0.285714285714286,20,1,0.171428571428571,0.517241379310345,34,4,1,4
"kou_01",1,7,12,4,14,NA,NA,NA,NA,8.191126,0.518770999999999,16,NA,"mysids;crangon","kou_01_1_7","kou_01_1",9,"shrimp_mix",0.714285714285714,20,1,0.428571428571427,0.517241379310345,35,4,1,4
"dom_02",1,1,30,10,20,NA,NA,NA,NA,11.40659,1.58269366138005,NA,NA,"mysids","dom_02_1_1","dom_02_1",15,"medium_shrimp",1,27,3,0.599999999999999,1,36,25,1,3
"dom_03a",3,7,25,30,40,1.55514,1.854206,0.553271,0.837383,1.846154,2.7,NA,NA,"fish fry","dom_03a_3_7","dom_03a_3",35,"fish",1,20,2,0.599999999999999,0.517241379310345,2,2,1,2
"cor_08",1,2,30,34,41,3.691275,4.127517,0.436241,0.369127,1.672566,0.89823,8.74,1,"starved_shrimp","cor_08_1_2","cor_08_1",37.5,"starved shrimp",1,18.5,1,0.599999999999999,0.413793103448276,37,3,1,6
"kou_00",1,1,15,12,29,0.195,0.284,0.047,0.087,2.6,0.047,7.3,1.07,"mysids","kou_00_1_1","kou_00_1",20.5,"small_shrimp",0.253333333333333,19,1,0.151999999999999,0.448275862068966,38,17,1,1
"syk_03",1,1,18,6,11,0.1101322,0.2246696,0.03524238,0.1409692,11.97137,6.629964,NA,NA,"grass shrimp","syk_03_1_1","syk_03_1",8.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,39,26,1,3
"dom_04",1,2,90,8,15,0.146,0.257,0.034,0.055,8.4,0.1,NA,NA,"grass_shrimp","dom_04_1_2","dom_04_1",11.5,"medium_shrimp",1,20,1,0.599999999999999,0.517241379310345,40,7,1,3
"dom_03a",1,1,24,15,20,0.5789474,0.7789474,0.2210527,0.3157895,5.77387906486552,2.3,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",17.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,27,18,1,3
