doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
10.1016/S0044-8486(03)00351-X;Domingues P M;2004;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;7;dom_04_3_7;y;;60;88;20;mysids;7;fish fry;live;libitum;cultured spawners;;10;6;0.6;
10.1016/S0044-8486(03)00351-X;Domingues P M;2004;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);4;8;dom_04_4_8;y;;50;85;24;mysids;7;grass shrimp;frozen;20;cultured spawners;;10;15;1.5;
10.1016/S0044-8486(03)00351-X;Domingues P M;2004;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);4;9;dom_04_4_9;y;;50;85;24;mysids;7;fish fry;frozen;20;cultured spawners;;10;15;1.5;
10.1007/s10499-007-9139-5;Domingues P M;2008;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;1;dom_08_1_1;y;;120;149;21;;;grass shrimp;frozen;15;collected from wild;low intensity;26.88;4;0.148809524;
10.1007/s10499-007-9139-5;Domingues P M;2008;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;2;dom_08_1_2;y;;120;149;21;;;fish;frozen;15;collected from wild;low intensity;26.88;4;0.148809524;
10.1007/s10499-007-9139-5;Domingues P M;2008;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;3;dom_08_1_3;y;;120;149;21;;;crayfish;frozen;15;collected from wild;low intensity;26.88;4;0.148809524;
10.1006/jmsc.1999.0503;Koueta N;2000;Marine station of Luc sur-mer (France);1;1;kou_00_1_1;y;;12;27;19;mysids;10;mysids;live;low;wild spawner laid in lab;;8;5;0.625;
10.1006/jmsc.1999.0503;Koueta N;2000;Marine station of Luc sur-mer (France);1;2;kou_00_1_2;y;;12;27;19;mysids;10;mysids;live;medium;wild spawner laid in lab;;8;5;0.625;
10.1006/jmsc.1999.0503;Koueta N;2000;Marine station of Luc sur-mer (France);1;3;kou_00_1_3;y;;12;27;19;mysids;10;mysids;live;high;wild spawner laid in lab;;8;5;0.625;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;1;kou_01_1_1;y;;4;45;20;mysids;5;mysids/crangon;live;0;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;2;kou_01_1_2;y;;4;45;20;mysids;5;mysids/crangon;live;1;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;3;kou_01_1_3;y;;4;45;20;mysids;5;mysids/crangon;live;3;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;4;kou_01_1_4;y;;4;45;20;mysids;5;mysids/crangon;live;5;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;5;kou_01_1_5;y;;4;45;20;mysids;5;mysids/crangon;live;10;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;6;kou_01_1_6;y;;4;45;20;mysids;5;mysids/crangon;live;20;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;7;kou_01_1_7;y;;4;45;20;mysids;5;mysids/crangon;live;25;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;8;kou_01_1_8;y;;4;45;20;mysids;5;mysids/crangon;live;30;wild spawner laid in lab;12:12;8;1;0.125;
