"mean","sd","var","distr"
22.17007705,3.16759808155192,"sigma[18]","22.17 , 3.17"
22.219278,3.09988708549802,"sigma[19]","22.22 , 3.1"
23.4171116,2.75877900837199,"sigma[20]","23.42 , 2.76"
22.1591466,3.13463510319998,"sigma[21]","22.16 , 3.13"
22.08766085,3.14669056742728,"sigma[22]","22.09 , 3.15"
21.99807525,3.15804471680803,"sigma[23]","22 , 3.16"
22.4855036,3.07483945988389,"sigma[24]","22.49 , 3.07"
22.4464086,3.03418103164634,"sigma[25]","22.45 , 3.03"
22.0907877,3.17677845208877,"sigma[26]","22.09 , 3.18"
21.8950194,3.24750337362943,"sigma[27]","21.9 , 3.25"
21.86101555,3.23082238878078,"sigma[28]","21.86 , 3.23"
22.2176428,3.11260306702036,"sigma[29]","22.22 , 3.11"
15.49499355,1.22420034516657,"mu","15.49 , 1.22"
0.671084699,0.0699425349504652,"F[1]","0.67 , 0.07"
0.1758242416,0.045226097371876,"F[2]","0.18 , 0.05"
0.7936513215,0.0671379484666481,"F[3]","0.79 , 0.07"
0.866421604,0.0637452907950733,"F[4]","0.87 , 0.06"
0.17875300715,0.0608779067391391,"F[5]","0.18 , 0.06"
0.29848450975,0.150890873254899,"F[6]","0.3 , 0.15"
3.40785689,1.10632099798048,"a","3.41 , 1.11"
0.5155916125,0.0718035669720335,"bF","0.52 , 0.07"
4.76578234,1.44705485413465,"bT1","4.77 , 1.45"
-0.7478280995,0.279786537372854,"bT2","-0.75 , 0.28"
